Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
212,3/19/20,6:00 PM,Delhi,11,1,3,1,12
213,3/19/20,6:00 PM,Haryana,3,14,0,0,17
214,3/19/20,6:00 PM,Karnataka,14,0,0,1,14
215,3/19/20,6:00 PM,Kerala,25,2,3,0,27
216,3/19/20,6:00 PM,Maharashtra,44,3,0,1,47
217,3/19/20,6:00 PM,Odisha,1,0,0,0,1
218,3/19/20,6:00 PM,Puducherry,1,0,0,0,1
219,3/19/20,6:00 PM,Punjab,2,0,0,1,2
220,3/19/20,6:00 PM,Rajasthan,5,2,3,0,7
221,3/19/20,6:00 PM,Tamil Nadu,2,0,1,0,2
222,3/19/20,6:00 PM,Telengana,4,2,1,0,6
223,3/19/20,6:00 PM,Chandigarh,1,0,0,0,1
224,3/19/20,6:00 PM,Jammu and Kashmir,4,0,0,0,4
225,3/19/20,6:00 PM,Ladakh,8,0,0,0,8
226,3/19/20,6:00 PM,Uttar Pradesh,18,1,9,0,19
227,3/19/20,6:00 PM,Uttarakhand,1,0,0,0,1
228,3/19/20,6:00 PM,West Bengal,1,0,0,0,1
229,3/20/20,6:00 PM,Andhra Pradesh,3,0,0,0,3
230,3/20/20,6:00 PM,Chhattisgarh,1,0,0,0,1
231,3/20/20,6:00 PM,Delhi,16,1,5,1,17
232,3/20/20,6:00 PM,Gujarat,5,0,0,0,5
233,3/20/20,6:00 PM,Haryana,3,14,0,0,17
234,3/20/20,6:00 PM,Karnataka,15,0,1,1,15
235,3/20/20,6:00 PM,Kerala,26,2,3,0,28
236,3/20/20,6:00 PM,Maharashtra,49,3,0,1,52
237,3/20/20,6:00 PM,Odisha,2,0,0,0,2
238,3/20/20,6:00 PM,Puducherry,1,0,0,0,1
239,3/20/20,6:00 PM,Punjab,2,0,0,1,2
240,3/20/20,6:00 PM,Rajasthan,15,2,3,0,17
241,3/20/20,6:00 PM,Tamil Nadu,3,0,1,0,3
242,3/20/20,6:00 PM,Telengana,8,9,1,0,17
243,3/20/20,6:00 PM,Chandigarh,1,0,0,0,1
244,3/20/20,6:00 PM,Jammu and Kashmir,4,0,0,0,4
245,3/20/20,6:00 PM,Ladakh,10,0,0,0,10
246,3/20/20,6:00 PM,Uttar Pradesh,22,1,9,0,23
247,3/20/20,6:00 PM,Uttarakhand,3,0,0,0,3
248,3/20/20,6:00 PM,West Bengal,2,0,0,0,2
249,3/21/20,6:00 PM,Andhra Pradesh,3,0,0,0,3
250,3/21/20,6:00 PM,Chhattisgarh,1,0,0,0,1
251,3/21/20,6:00 PM,Delhi,25,1,5,1,26
252,3/21/20,6:00 PM,Gujarat,7,0,0,0,7
253,3/21/20,6:00 PM,Haryana,3,14,0,0,17
254,3/21/20,6:00 PM,Himachal Pradesh,2,0,0,0,2
255,3/21/20,6:00 PM,Karnataka,15,0,1,1,15
256,3/21/20,6:00 PM,Kerala,33,7,3,0,40
257,3/21/20,6:00 PM,Madhya Pradesh,4,0,0,0,4
258,3/21/20,6:00 PM,Maharashtra,60,3,0,1,63
259,3/21/20,6:00 PM,Odisha,2,0,0,0,2
260,3/21/20,6:00 PM,Puducherry,1,0,0,0,1
261,3/21/20,6:00 PM,Punjab,13,0,0,1,13
262,3/21/20,6:00 PM,Rajasthan,15,2,3,0,17
263,3/21/20,6:00 PM,Tamil Nadu,3,0,1,0,3
264,3/21/20,6:00 PM,Telengana,10,11,1,0,21
265,3/21/20,6:00 PM,Chandigarh,1,0,0,0,1
266,3/21/20,6:00 PM,Jammu and Kashmir,4,0,0,0,4
267,3/21/20,6:00 PM,Ladakh,13,0,0,0,13
268,3/21/20,6:00 PM,Uttar Pradesh,23,1,9,0,24
269,3/21/20,6:00 PM,Uttarakhand,3,0,0,0,3
270,3/21/20,6:00 PM,West Bengal,3,0,0,0,3
271,3/22/20,6:00 PM,Andhra Pradesh,5,0,0,0,5
272,3/22/20,6:00 PM,Bihar,2,0,0,1,2
273,3/22/20,6:00 PM,Chhattisgarh,1,0,0,0,1
274,3/22/20,6:00 PM,Delhi,28,1,5,1,29
275,3/22/20,6:00 PM,Gujarat,18,0,0,1,18
276,3/22/20,6:00 PM,Haryana,7,14,0,0,21
277,3/22/20,6:00 PM,Himachal Pradesh,2,0,0,0,2
278,3/22/20,6:00 PM,Karnataka,26,0,2,1,26
279,3/22/20,6:00 PM,Kerala,45,7,3,0,52
280,3/22/20,6:00 PM,Madhya Pradesh,4,0,0,0,4
281,3/22/20,6:00 PM,Maharashtra,64,3,0,2,67
282,3/22/20,6:00 PM,Odisha,2,0,0,0,2
283,3/22/20,6:00 PM,Puducherry,1,0,0,0,1
284,3/22/20,6:00 PM,Punjab,21,0,0,1,21
285,3/22/20,6:00 PM,Rajasthan,22,2,3,0,24
286,3/22/20,6:00 PM,Tamil Nadu,5,2,1,0,7
287,3/22/20,6:00 PM,Telengana,11,11,1,0,22
288,3/22/20,6:00 PM,Chandigarh,5,0,0,0,5
289,3/22/20,6:00 PM,Jammu and Kashmir,4,0,0,0,4
290,3/22/20,6:00 PM,Ladakh,13,0,0,0,13
291,3/22/20,6:00 PM,Uttar Pradesh,26,1,9,0,27
292,3/22/20,6:00 PM,Uttarakhand,3,0,0,0,3
293,3/22/20,6:00 PM,West Bengal,4,0,0,0,4
294,3/23/20,6:00 PM,Andhra Pradesh,7,0,0,0,7
295,3/23/20,6:00 PM,Bihar,2,0,0,1,2
296,3/23/20,6:00 PM,Chhattisgarh,1,0,0,0,1
297,3/23/20,6:00 PM,Delhi,28,1,5,1,29
298,3/23/20,6:00 PM,Gujarat,29,0,0,1,29
299,3/23/20,6:00 PM,Haryana,12,14,0,0,26
300,3/23/20,6:00 PM,Himachal Pradesh,2,0,0,0,2
301,3/23/20,6:00 PM,Karnataka,33,0,2,1,33
302,3/23/20,6:00 PM,Kerala,60,7,3,0,67
303,3/23/20,6:00 PM,Madhya Pradesh,6,0,0,0,6
304,3/23/20,6:00 PM,Maharashtra,71,3,0,2,74
305,3/23/20,6:00 PM,Odisha,2,0,0,0,2
306,3/23/20,6:00 PM,Puducherry,1,0,0,0,1
307,3/23/20,6:00 PM,Punjab,21,0,0,1,21
308,3/23/20,6:00 PM,Rajasthan,26,2,3,0,28
309,3/23/20,6:00 PM,Tamil Nadu,7,2,1,0,9
310,3/23/20,6:00 PM,Telengana,22,10,1,0,32
311,3/23/20,6:00 PM,Chandigarh,6,0,0,0,6
312,3/23/20,6:00 PM,Jammu and Kashmir,4,0,0,0,4
313,3/23/20,6:00 PM,Ladakh,13,0,0,0,13
314,3/23/20,6:00 PM,Uttar Pradesh,30,1,9,0,31
315,3/23/20,6:00 PM,Uttarakhand,3,0,0,0,3
316,3/23/20,6:00 PM,West Bengal,7,0,0,0,7
317,3/24/20,6:00 PM,Andhra Pradesh,8,0,0,0,8
318,3/24/20,6:00 PM,Bihar,3,0,0,1,3
319,3/24/20,6:00 PM,Chhattisgarh,1,0,0,0,1
320,3/24/20,6:00 PM,Delhi,29,1,6,1,30
321,3/24/20,6:00 PM,Gujarat,32,1,0,1,33
322,3/24/20,6:00 PM,Haryana,14,14,11,0,28
323,3/24/20,6:00 PM,Himachal Pradesh,3,0,0,1,3
324,3/24/20,6:00 PM,Karnataka,37,0,3,1,37
325,3/24/20,6:00 PM,Kerala,87,8,4,0,95
326,3/24/20,6:00 PM,Madhya Pradesh,7,0,0,0,7
327,3/24/20,6:00 PM,Maharashtra,86,3,0,2,89
328,3/24/20,6:00 PM,Manipur,1,0,0,0,1
329,3/24/20,6:00 PM,Odisha,2,0,0,0,2
330,3/24/20,6:00 PM,Puducherry,1,0,0,0,1
331,3/24/20,6:00 PM,Punjab,29,0,0,1,29
332,3/24/20,6:00 PM,Rajasthan,30,2,3,0,32
333,3/24/20,6:00 PM,Tamil Nadu,13,2,1,0,15
334,3/24/20,6:00 PM,Telengana,25,10,1,0,35
335,3/24/20,6:00 PM,Chandigarh,7,0,0,0,7
336,3/24/20,6:00 PM,Jammu and Kashmir,4,0,0,0,4
337,3/24/20,6:00 PM,Ladakh,13,0,0,0,13
338,3/24/20,6:00 PM,Uttar Pradesh,32,1,11,0,33
339,3/24/20,6:00 PM,Uttarakhand,3,1,0,0,4
340,3/24/20,6:00 PM,West Bengal,9,0,0,1,9
341,3/25/20,6:00 PM,Andhra Pradesh,9,0,1,0,9
342,3/25/20,6:00 PM,Bihar,4,0,0,1,4
343,3/25/20,6:00 PM,Chhattisgarh,1,0,0,0,1
344,3/25/20,6:00 PM,Delhi,30,1,6,1,31
345,3/25/20,6:00 PM,Gujarat,37,1,0,1,38
346,3/25/20,6:00 PM,Haryana,14,14,11,0,28
347,3/25/20,6:00 PM,Himachal Pradesh,3,0,0,1,3
348,3/25/20,6:00 PM,Karnataka,41,0,3,1,41
349,3/25/20,6:00 PM,Kerala,101,8,4,0,109
350,3/25/20,6:00 PM,Madhya Pradesh,14,0,0,0,14
351,3/25/20,6:00 PM,Maharashtra,125,3,1,3,128
352,3/25/20,6:00 PM,Manipur,1,0,0,0,1
353,3/25/20,6:00 PM,Mizoram,1,0,0,0,1
354,3/25/20,6:00 PM,Odisha,2,0,0,0,2
355,3/25/20,6:00 PM,Puducherry,1,0,0,0,1
356,3/25/20,6:00 PM,Punjab,29,0,0,1,29
357,3/25/20,6:00 PM,Rajasthan,34,2,3,0,36
358,3/25/20,6:00 PM,Tamil Nadu,16,2,1,0,18
359,3/25/20,6:00 PM,Telengana,25,10,1,0,35
360,3/25/20,6:00 PM,Chandigarh,7,0,0,0,7
361,3/25/20,6:00 PM,Jammu and Kashmir,7,0,1,0,7
362,3/25/20,6:00 PM,Ladakh,13,0,0,0,13
363,3/25/20,6:00 PM,Uttar Pradesh,36,1,11,0,37
364,3/25/20,6:00 PM,Uttarakhand,3,1,0,0,4
365,3/25/20,6:00 PM,West Bengal,9,0,0,1,9
366,3/26/20,6:00 PM,Andaman and Nicobar Islands,1,0,0,0,1
367,3/26/20,6:00 PM,Andhra Pradesh,11,0,1,0,11
368,3/26/20,6:00 PM,Bihar,6,0,0,1,6
369,3/26/20,6:00 PM,Chandigarh,7,0,0,0,7
370,3/26/20,6:00 PM,Chhattisgarh,6,0,0,0,6
371,3/26/20,6:00 PM,Delhi,35,1,6,1,36
372,3/26/20,6:00 PM,Goa,3,0,0,0,3
373,3/26/20,6:00 PM,Gujarat,42,1,0,3,43
374,3/26/20,6:00 PM,Haryana,16,14,11,0,30
375,3/26/20,6:00 PM,Himachal Pradesh,3,0,0,1,3
376,3/26/20,6:00 PM,Jammu and Kashmir,13,0,1,0,13
377,3/26/20,6:00 PM,Karnataka,55,0,3,2,55
378,3/26/20,6:00 PM,Kerala,110,8,6,0,118
379,3/26/20,6:00 PM,Ladakh,13,0,0,0,13
380,3/26/20,6:00 PM,Madhya Pradesh,20,0,0,1,20
381,3/26/20,6:00 PM,Maharashtra,121,3,1,3,124
382,3/26/20,6:00 PM,Manipur,1,0,0,0,1
383,3/26/20,6:00 PM,Mizoram,1,0,0,0,1
384,3/26/20,6:00 PM,Odisha,2,0,0,0,2
385,3/26/20,6:00 PM,Puducherry,1,0,0,0,1
386,3/26/20,6:00 PM,Punjab,33,0,0,1,33
387,3/26/20,6:00 PM,Rajasthan,39,2,3,0,41
388,3/26/20,6:00 PM,Tamil Nadu,20,6,1,1,26
389,3/26/20,6:00 PM,Telengana,34,10,1,0,44
390,3/26/20,6:00 PM,Uttarakhand,4,1,0,0,5
391,3/26/20,6:00 PM,Uttar Pradesh,40,1,11,0,41
392,3/26/20,6:00 PM,West Bengal,10,0,0,1,10
393,3/27/20,10:00 AM,Andaman and Nicobar Islands,1,0,0,0,1
394,3/27/20,10:00 AM,Andhra Pradesh,12,0,1,0,12
395,3/27/20,10:00 AM,Bihar,6,0,0,1,6
396,3/27/20,10:00 AM,Chandigarh,7,0,0,0,7
397,3/27/20,10:00 AM,Chhattisgarh,6,0,0,0,6
398,3/27/20,10:00 AM,Delhi,35,1,6,1,36
399,3/27/20,10:00 AM,Goa,3,0,0,0,3
400,3/27/20,10:00 AM,Gujarat,42,1,0,3,43
401,3/27/20,10:00 AM,Haryana,16,14,11,0,30
402,3/27/20,10:00 AM,Himachal Pradesh,3,0,0,1,3
403,3/27/20,10:00 AM,Jammu and Kashmir,13,0,1,1,13
404,3/27/20,10:00 AM,Karnataka,55,0,3,2,55
405,3/27/20,10:00 AM,Kerala,129,8,11,0,137
406,3/27/20,10:00 AM,Ladakh,13,0,3,0,13
407,3/27/20,10:00 AM,Madhya Pradesh,20,0,0,1,20
408,3/27/20,10:00 AM,Maharashtra,127,3,15,4,130
409,3/27/20,10:00 AM,Manipur,1,0,0,0,1
410,3/27/20,10:00 AM,Mizoram,1,0,0,0,1
411,3/27/20,10:00 AM,Odisha,2,0,0,0,2
412,3/27/20,10:00 AM,Puducherry,1,0,0,0,1
413,3/27/20,10:00 AM,Punjab,33,0,0,1,33
414,3/27/20,10:00 AM,Rajasthan,39,2,3,0,41
415,3/27/20,10:00 AM,Tamil Nadu,23,6,1,1,29
416,3/27/20,10:00 AM,Telengana,35,10,1,0,45
417,3/27/20,10:00 AM,Uttarakhand,4,1,0,0,5
418,3/27/20,10:00 AM,Uttar Pradesh,40,1,11,0,41
419,3/27/20,10:00 AM,West Bengal,10,0,0,1,10
420,3/28/20,6:00 PM,Andhra Pradesh,14,0,1,0,14
421,3/28/20,6:00 PM,Andaman and Nicobar Islands,6,0,0,0,6
422,3/28/20,6:00 PM,Bihar,9,0,0,1,9
423,3/28/20,6:00 PM,Chandigarh,8,0,0,0,8
424,3/28/20,6:00 PM,Chhattisgarh,6,0,0,0,6
425,3/28/20,6:00 PM,Delhi,38,1,6,1,39
426,3/28/20,6:00 PM,Goa,3,0,0,0,3
427,3/28/20,6:00 PM,Gujarat,44,1,0,3,45
428,3/28/20,6:00 PM,Haryana,19,14,12,0,33
429,3/28/20,6:00 PM,Himachal Pradesh,3,0,0,1,3
430,3/28/20,6:00 PM,Jammu and Kashmir,20,0,1,1,20
431,3/28/20,6:00 PM,Karnataka,55,0,3,2,55
